SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018eog,2018eog,2018/08/02.593,'20:28:11.970,-03:08:13.47,0.02,17,17.53,17.87,9.96,II,WISEA J202811.33-030808.8,PMO-Tsinghua Supernova Survey (PTSS),Yes
2018eov,2018eov,2018/08/02.360,'16:15:17.427,-61:07:53.54,0.016,16,---,15.59,11.50721277,Ia,2MFGC 13057,Gaia,Yes
2018epf,2018epf,2018/08/04.358,'16:50:31.700,+43:03:27.18,0.038,14.9,---,---,1.14,I,WISEA J165031.75+430327.7,ATLAS,No
2018epw,2018epw,2018/08/05.594,'23:06:30.460,+10:18:18.96,0.063,17.7,---,17.58,7.74,Ia,WISEA J230630.03+101821.0,ATLAS,No
2018epx,2018epx,2018/08/05.605,'23:29:53.220,+27:22:40.90,0.024,15.9,---,16.53,5.6,Ia,WISEA J232953.27+272244.2,ATLAS,Yes
2018eqq,2018eqq,2018/08/03.569,'03:06:55.160,+41:30:32.90,0.016,13.8,---,15.454,1.191094848,Ia,UGC 02536,Gaia,Yes
2018ero,2018ero,2018/08/06.476,'20:08:41.220,+03:16:17.60,0.06,17.9,---,---,0.7,Ia,2MFGC 15336,ATLAS,No
2018etj,2018etj,2018/08/08.298,'14:04:23.170,+60:01:27.66,0.042,17.9,---,---,11,Ia,MCG +10-20-070,ATLAS,No
2018etm,2018etm,2018/08/08.342,'16:14:20.680,+03:13:55.08,0.026,17.1,---,16.46,5.6,Ia,UNCATALOGUED,ATLAS,Yes
2018euz,2018euz,2018/08/04.167,'16:14:33.770,+36:56:36.24,0.038,17.5,---,---,2,Ia,KUG 1612+370B,ZTF,No
2018evd,2018evd,2018/08/08.513,'23:16:51.850,+41:03:33.72,0.055,17.9,---,---,4,Ia,WISEA J231651.77+410337.5,ATLAS,No
2018evy,2018evy,2018/08/11.383,'18:22:38.170,+15:41:47.66,0.018,15.8,---,16.8,12.00728398,II,NGC 6627,ATLAS,Yes
2018exb,2018exb,2018/08/11.424,'21:13:08.540,-20:42:38.90,0.047,17,---,16.27,3.6,Ia,WISEA J211308.37-204239.0,ATLAS,Yes
2018exc,2018exc,2018/08/11.426,'21:00:08.020,-40:21:30.94,0.057,17.9,15.88,16.21,3.4,Ia,2MFGC 15903,ATLAS,Yes
2018exv,2018exv,2018/08/07.497,'23:33:57.440,-26:26:49.28,0.07,17.9,---,17.937,10.5,Ia,WISEA J233357.97-262656.8,ATLAS,Yes
2018fay,2018fay,2018/08/12.548,'07:17:19.262,+52:18:23.69,0.031,17.2,---,---,5.76,Ia-91T,WISEA J071718.79+521826.3,Gaia,No
2018fbi,2018fbi,2018/08/12.525,'23:59:24.260,+45:54:06.91,0.049,17.6,---,---,13.6,Ib,WISEA J235924.52+455353.4,ATLAS,No
2018fca,2018fca,2018/08/12.818,'01:38:41.470,-50:24:05.43,0.05,17.5,---,---,4.1,Ia,WISEA J013841.30-502401.7,Gaia,No
2018feb,2018feb,2018/08/16.164,'17:10:11.160,+21:38:56.53,0.015,14.9,15.22,15.898,2.244353201,Ia,CGCG 139-041,ATLAS,Yes
2018ffj,2018ffj,2018/08/07.574,'02:30:59.77,-17:20:26.82,0.234,17.5,---,---,8.4,SLSN-I,WISEA J023059.60-172036.3,MASTER,No
2018fif,2018fif,2018/08/22.406,'00:09:26.550,+47:21:14.73,0.017189,17.6,---,---,22.2,II,UGC 00085,ZTF,No
2018fip,2018fip,2018/07/28.729,'16:54:15.750,-54:02:39.27,0.117,14.5,---,---,4.4,Ic-BL,2MASS J16541619-5402372,MASTER,No
2018fiw,2018fiw,2018/08/21.576,'00:15:01.840,+34:48:40.33,0.04777,17.8,---,---,10.7,Ia,MRK 0941,ATLAS,No
2018fmf,2018fmf,2018/08/22.462,'09:38:29.343,+76:19:11.64,0.008,15.5,---,---,19.73991845,IIP,NGC 2938,MASTER,Yes
2018fnd,2018fnd,2018/08/29.214,'16:47:54.590,+42:58:07.61,0.075,17,---,---,2.0316,Ia,GALEXMSC J164754.49+425805.9,ZTF,No
2018fng,2018fng,2018/08/27.232,'16:07:03.010,+15:35:44.68,0.03955,17.1,---,16.683,9.573953252,Ia,KUG 1604+157,ZTF,Yes
2018fop,2018fop,2018/08/21.569,'01:15:18.110,-06:51:32.54,0.02,17.7,15.51,---,2.9,Ia,WISEA J011517.81-065130.5,PS1,Yes
2018fpx,2018fpx,2018/08/30.583,'03:03:40.130,+45:38:37.48,0.025,17.6,---,---,13.4,II,HFLLZOA G145.82-11.27,ATLAS,No
2018fqk,2018fqk,2018/08/30.500,'22:33:09.020,+04:07:47.03,0.041,17.3,16.77,---,1.86,Ia,WISEA J223309.02+040747.0,ATLAS,No
2018fql,2018fql,2018/08/31.457,'23:41:16.080,-28:57:44.74,0.049,17.7,17.53,17.698,3.3,Ia,2dFGRS S271Z125,ATLAS,Yes
2018fqm,2018fqm,2018/08/31.062,'05:03:21.630,-28:43:53.20,0.035,17.5,---,---,15,II,WISEA J050321.12-284407.0,MASTER,No
2018fru,2018fru,2018/09/01.275,'13:36:03.750,+66:18:04.32,0.01026,17,---,---,8.519063079,II,UGC 08604,ATLAS,No
2018fsq,2018fsq,2018/08/30.515,'07:17:49.850,+18:27:51.69,0.043,17.5,---,---,4.68,Ia,WISEA J071749.82+182756.3,ZTF,No
2018fss,2018fss,2018/08/30.444,'03:06:26.810,+41:12:49.79,0.06,16.4,---,---,0.24,Ia,WISEA J030626.80+411249.9,ZTF,No
2018fus,2018fus,2018/08/11.445,'21:02:31.290,-05:37:30.07,0.025,17.4,---,---,5.94,II,WISEA J210230.97-053726.0,ZTF,No
