SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18gk,SN 2018amp,2018-03-25.96,'13:37:36.14,'-31:57:52.16,0.047,17.1,---,16.39,6.7,Ia-SC,-11,WISEA J133735.98-315758.5,,
ASASSN-18gs,SN 2018apn,2018-04-03.27,'15:50:03.54,'+42:05:18.49,0.039,17,---,16.6,0.24,Ia,-2,SDSS J155003.56+420518.3,,
ASASSN-18gt,SN 2018apo,2018-04-02.88,'12:45:05.25,'-44:00:23.62,0.016254,16.3,---,15.01,4.06,Ia-91T,14,ESO 268-G 037,,
ASASSN-18gu,SN 2018aqa,2018-04-04.18,'09:12:20.28,'+13:40:23.59,0.02883,16.5,---,16.41,2.4,Ia,-1,CGCG 062-004,,
ASASSN-18gw,AT 2018aqd,2018-04-04.10,'08:30:30.76,'-67:14:53.56,Unk,16.3,---,16.15,9.3,Unk,0,WISEA J083030.85-671444.2,,
ASASSN-18gz,SN 2018aqe,2018-04-05.23,'14:35:53.71,'+35:17:15.22,0.044557,17.2,---,16.35,1.28,Ia,-7,2MASX J14355382+3517148,,
ASASSN-18hb,SN 2018aqi,2018-04-06.08,'10:48:25.44,'-25:09:35.82,0.012509,16.4,---,15.45,27.93,Ia,6,NGC 3393,,
ASASSN-18hd,SN 2018aqj,2018-04-06.27,'12:01:43.10,'+08:08:04.13,0.041092,17,---,16.9,0.43,Ia,8,2MASX J12014308+0808037,,
ASASSN-18he,SN 2018aqk,2018-04-05.11,'12:04:58.32,'+32:23:28.79,0.054054,17.8,---,17.8,8.56,Ia,-6,CGCG 187-001,,
ASASSN-18hf,SN 2018aqn,2018-04-07.35,'13:33:52.57,'-37:43:59.02,0.024587,17.1,---,16.88,55.51,IIn,-3,ESO 383-G 019,,
